$dn,dpdDelay,ikeMaxLifeTime,ikeDiffHellGrp,ikeAuthenticationMethod,ikeEncryptionMethod,ikeReauthEnabled,connectionEstablishmentMode,ipsecPerfForwSecEnabled,localTunnelEndpointDN,remoteTunnelEndpoint,remoteTunnelEndpoint2,userLabel
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-1,10,86400,0,1,0,0,0,0,MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.0.199,,Distributed_Birmingham Telehouse
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-2,10,86400,0,1,0,0,0,0,MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.39.75.253,,MEC IP
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,10,86400,0,1,0,0,0,0,MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.219.202.189,,Centralized
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-1,10,86400,0,1,0,,0,0,MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.0.199,,Distributed_Birmingham Telehouse
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-2,10,86400,0,1,0,,0,0,MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.39.75.253,,MEC IP
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-1,10,86400,0,1,0,0,0,0,MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.0.211,,Manchester SeGW2
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,10,86400,0,1,0,0,0,0,MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.219.202.165,,Hamilton SeGW1
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-6,10,86400,0,1,0,0,0,0,MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.38.95.173,,DirectX2 With 516647
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-1,10,86400,0,1,0,0,0,0,MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.0.209,,Distributed Manchester Dial House
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-3,10,86400,0,1,0,0,0,0,MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.0.215,,Secondary-Distributed-Colindale
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-1,10,86400,0,1,0,0,0,0,MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.0.211,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-1,10,86400,0,1,0,0,0,0,MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.0.197,,Distributed Birmingham Telehouse
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,10,86400,0,1,0,0,0,0,MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.219.202.177,,Centralised
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-6,10,86400,0,1,0,0,0,0,MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.139.106.10,,DirectX2 with gNB ID 17925
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-1,10,86400,0,1,0,0,0,0,MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.0.199,,Distributed_Birmingham Telehouse
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,10,86400,0,1,0,0,0,0,MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.219.202.179,,Centralized
