MRBTS,Cell ID,Hub / Child,NMS,Vendor,Primary IPSEC Gateway,Primary Gateway IP,Primary - NEW IKE TEP,Secondary IPSEC Gateway,Secondary Gateway IP,Secondary - NEW IKE TEP
PLMN-PLMN/MRBTS-16119,10665,Child,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-16121,10669,Child,NetAct R10,Nokia Flexi,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-30816,15685,Hub,NetAct R10,Nokia Airscale,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-17450,16647,Child,NetAct R10,Nokia Airscale,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-17634,17819,Child,NetAct R10,Nokia Flexi,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-17648,17925,Hub,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-18013,19517,Child,NetAct R12,Nokia Flexi,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-18459,23459,Child,NetAct R10,Nokia Flexi,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-18476,23589,Hub,NetAct R10,Nokia Flexi,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-18483,23705,Hub,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-18488,23715,Hub,NetAct R10,Nokia Flexi,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-18538,24629,Hub,NetAct R12,Nokia Flexi,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-18942,29279,Child,NetAct R10,Nokia Flexi,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-18945,29285,Child,NetAct R10,Nokia Flexi,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-18977,29359,Child,NetAct R10,Nokia Flexi,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-19002,29445,Child,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-19006,29455,Child,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
