$dn,dpdDelay,ikeMaxLifeTime,ikeDiffHellGrp,ikeAuthenticationMethod,ikeEncryptionMethod,ikeReauthEnabled,connectionEstablishmentMode,ipsecPerfForwSecEnabled,localTunnelEndpointDN,remoteTunnelEndpoint,remoteTunnelEndpoint2,userLabel
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-3,10.0,86400.0,1.0,2.0,4.0,0.0,0.0,1.0,MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.7.211,,Manchester SecGW  2 Distributed
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-1,10.0,86400.0,1.0,2.0,4.0,0.0,0.0,1.0,MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.7.225,,Leeds Basinghall SecGW 1 Distributed
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-2,10.0,86400.0,0.0,1.0,0.0,0.0,0.0,0.0,MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.39.75.253,,MEC IP
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,10.0,86400.0,0.0,1.0,0.0,0.0,0.0,0.0,MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.7.61,,Tannochside segw3  Centralised
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-3,10.0,86400.0,1.0,2.0,4.0,,0.0,1.0,MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.7.211,,Manchester SecGW  2 Distributed
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-1,10.0,86400.0,1.0,2.0,4.0,,0.0,1.0,MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.7.225,,Leeds Basinghall SecGW 1 Distributed
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-2,10.0,86400.0,0.0,1.0,0.0,,0.0,0.0,MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.39.75.253,,MEC IP
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-3,10.0,86400.0,1.0,2.0,4.0,0.0,0.0,1.0,MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.7.211,,Manchester SecGW  2 Distributed
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-1,10.0,86400.0,1.0,2.0,4.0,0.0,0.0,1.0,MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.7.205,,Glasgow SecGW 1 Distributed
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,10.0,86400.0,0.0,1.0,0.0,0.0,0.0,0.0,MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,10.138.7.37,,Hamilton segw3  Centralised
