$dn,ikePDN,ipSecAction,ipSecPDN,policyOrderNumber,triggerDN,userLabel,dynamicLocalIpAddressDN,localIpAddress,localIpPort,localIpPrefixLength,policyAnchor,protocol,remoteIpAddress,remoteIpPort,remoteIpPrefixLength,dynamicLocalIpAddressDN.1,localIpAddress.1,localIpPort.1,localIpPrefixLength.1,policyAnchor.1,protocol.1,remoteIpAddress.1,remoteIpPort.1,remoteIpPrefixLength.1
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-1,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,1,,Mplane - S1,,10.219.231.193,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-2,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,2,,Uplane - S1,,10.218.201.17,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-3,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,3,,Sec Cplane - S1,,10.218.169.17,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-4,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,4,,Pri Cplane - S1,,10.218.137.17,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-5,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,0,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,5,,2G C/U_Plane,,10.219.43.204,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-6,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,0,MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,6,,2G M_Plane,,10.245.171.204,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-1,MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,4,,,,10.218.201.18,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-2,MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,3,,,,10.219.231.194,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-3,MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,2,,,,10.218.169.18,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-4,MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,1,,,,10.218.137.18,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
