$dn,administrativeState,destIpAddress,destPort,enhancedMetric,messageSize,plrAlarmThreshold,rttAlarmThreshold,sourceIpAddressDN,twampDscp
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-1,1,10.138.0.80,64364,0,69,10000,1000000,MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,46
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-2,1,10.138.0.80,64364,0,1400,10000,1000000,MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,0
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-1,1,10.138.0.80,64364,0,69,10000,1000000,MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,46
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-2,1,10.138.0.80,64364,0,1400,10000,1000000,MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,0
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-1,1,10.138.0.70,64364,0,69,10000,1000000,MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,46
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-2,1,10.138.0.70,64364,0,1400,10000,1000000,MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,0
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-1,1,10.138.0.80,64364,0,69,10000,1000000,MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,46
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-2,1,10.138.0.80,64364,0,1400,10000,1000000,MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,0
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-1,1,10.138.0.81,64364,0,69,10000,1000000,MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,46
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-2,1,10.138.0.81,64364,0,1400,10000,1000000,MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,0
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-1,1,10.138.0.80,64364,0,69,10000,1000000,MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,46
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-2,1,10.138.0.80,64364,0,1400,10000,1000000,MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,0
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-1,1,10.138.0.81,64364,0,69,10000,1000000,MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,46
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/TWAMP-2,1,10.138.0.81,64364,0,1400,10000,1000000,MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPIF-2/IPADDRESSV4-3,0
